Feature ID	Taxon	Consensus
bf1f4684eda58b6ad3957fe2e00fa3fd	k__Animalia;p__Chordata;c__Aves;o__Passeriformes;f__Passerellidae;g__Zonotrichia;s__albicollis	1.0
9900d983b986a99b585cbebf3514a97a	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Criomorphus;s__conspicuus	1.0
8a7a4c49233a86a9e636853a294646cb	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__duplicata	1.0
34de65e1466d0b8c6ca1ce9d939aec4f	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Eupithecia;s__annulata	1.0
a3de642f9f4ecd70824419f24119ee09	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__;s__	1.0
a04ae8d44d518ba36c0b1f7ab7ca26cb	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Scopula;s__limboundata	1.0
877512ca255ba5030f3faf9bf1429711	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	1.0
66f3995401ac06280a127d2321d5cb83	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Gnaphosidae;g__Gnaphosa;s__parvula	1.0
ea77bd05aeaf8a4fec4ecf50e6e42a54	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	1.0
aa2865b2013a7bbf8480e79dee61518e	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__emertoni	1.0
968b113fe8bfdc068bbe2db323f9ddc0	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	1.0
fd00470fb9f078d697480d2d44169273	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__maria	1.0
d686be731c0fc8cdd68edff708fb585e	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	1.0
f135e10b33bb89ad8529d939a8544bf3	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Onthophagus;s__sagittarius	1.0
1386f9e18b18e423aecb89af30a1d44a	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Eupithecia;s__annulata	1.0
d01de25fb80060dbef15530cd301a4cc	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Tenthredinidae;g__Anoplonyx;s__	1.0
345ed1a4ea46e7f331d93d06c5454dcf	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Sphingidae;g__Sphinx;s__poecila	1.0
3186e94c0700045e58e3544417139929	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula;s__tephrocephala	1.0
11eccef3a2317a8962345dca7d1e9172	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;g__Podabrus;s__nothoides	1.0
1ebdf2cab74d31f61528f5a4ebe04792	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Epiglaea;s__apiata	1.0
16a43abfc430656f67e5f9b27f4c829c	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	1.0
2d08a2d54e3f9ed21bb57425e8ea9d0c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Eulithis;s__explanata	1.0
3a8e5314b5ff91cbea6869e98a6e23af	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Zanclognatha;s__protumnusalis	1.0
08b783bc6abd607b50b42ff785489516	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Zale;s__duplicata	1.0
31a6ab8f32ba8ca19b87511d4c3affc2	k__Animalia;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Galumnidae;g__;s__	1.0
df8dadcda72227cf1e38df9d668dac60	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Hemipachnobia;s__monochromatea	1.0
fc2ed680c2278165cf53cafaa0fc6b23	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;g__Podabrus;s__nothoides	1.0
40afcc267ad72f0fbdc5779bdf4ff894	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Coenophila;s__opacifrons	1.0
e00ec95d6770f9ec81c4324bda5f922a	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Coenophila;s__opacifrons	1.0
22b4bbcd1bc9bb4f9824438cbfb67942	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__emertoni	1.0
a94278d583b7cdb5271a0647ff5b48be	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__canadensis	1.0
05a42657c9cac97c318e7c51642df136	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__Pityohyphantes;s__costatus	1.0
f019245e357a575ff84c76f4acfbb2ca	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
7f804bba6c4614c633a7514a31524a03	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Coenophila;s__opacifrons	1.0
257f312265b8488586105039a5b5fe90	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
dfa5b93013ea58f1f9be8096e3f9667c	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;g__Dichelotarsus;s__puberulus	1.0
492a0e41ab749ed6d2c3c2b738d14553	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula;s__longiventris	1.0
81e33317f53bfc1d2bfac5a5b8f59cf5	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Loscopia;s__velata	1.0
db9cf39e80623221f8a1fbd7fff8725c	k__Animalia;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Galumnidae;g__;s__	1.0
685148500ba8fec1079a49cf82e9c4a3	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Epiglaea;s__apiata	1.0
2706c71eec318f84c60ee5f1485ac77a	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__britcheri	1.0
cc58dc666c9eabc2639b62c6f8eecf96	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae;g__Trebacosa;s__marxi	1.0
e44ab4cbf9307be8d019b757c5c51e96	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Ebo;s__iviei	1.0
9d7bc6962a46d330d8d8a7c2e0df6c4b	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__maria	1.0
10d3d4258e2445df92241ddb311e3934	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
834343cdd52d8732ac023ce2f7b4789b	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Gnaphosidae;g__Gnaphosa;s__parvula	1.0
c3e5fd3863d13c6d66d9c985d5112f11	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Hypagyrtis;s__esther	1.0
1310b4ffc2274031a490354f5de8bb18	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Xanthotype;s__	1.0
d8c6af9fed6132cb2ec1f18d71650122	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__;g__;s__	1.0
e0bc47ab43a742455c857d9f26d35065	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__punctatus	1.0
aae00bb17831c3f9204e3cbc4859db58	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae;g__Pilophorus;s__piceicola	1.0
62deed16dbecccaf2ba7f95491c71152	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Coenophila;s__opacifrons	1.0
c8335d8c6377a9814ce1d8f793bc4914	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Gnaphosidae;g__Gnaphosa;s__parvula	1.0
8ae8c8a07124232baf652cbc99a00a26	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Ectropis;s__crepuscularia	1.0
85ad30fed31e9b82afacedc3b34924ce	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Dolichopodidae;g__;s__	1.0
109ac39285b19ff4a6e0d5b3b58d9c37	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__;s__	1.0
55050c767154794cc7a2f1f33406fc9c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Xanthotype;s__urticaria	1.0
1caaf59766af22ab6aa1398ec5c9c395	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Macrochilo;s__absorptalis	1.0
088c29f5c7cdd3088f71cbaed88016d8	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Clubionidae;g__Clubiona;s__chippewa	1.0
6cb42e074a5f46410d9432afbeb64d5b	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Sympistis;s__dentata	1.0
5ae46f4a23c4ef527f6a00c53b5600c9	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Ampedus;s__mixtus	1.0
f7abf08bb576e8f34e06bc967cc321b1	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Orthodes;s__cynica	1.0
0998d64089e59414e00efad7f25b4953	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Xanthotype;s__urticaria	1.0
cba5f91d86b635f583699a7e30fbfd65	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Conservula;s__anodonta	1.0
5d498d6ce90d8c6c0c9ec466dcc0a94c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Cryptocala;s__acadiensis	1.0
165e850ac2f037686d0ae43493485ff9	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Tenthredinidae;g__Pristiphora;s__mollis	1.0
a764ef5cee639aac0d3197858f38cb96	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae;g__Pardosa;s__moesta	1.0
25a808efa7af9c761b017b00a6654a8c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Olethreutes;s__olivaceana	1.0
50d4aa4431af117daa48bf7c660fa3a8	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Pseudolimnophila;s__inornata	1.0
322429549c525240c49728522e61d9a7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Colocasia;s__propinquilinea	1.0
b0adbb716035f212fcad54eed818fb9a	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Lophocampa;s__maculata	1.0
fe33e02c1c7008d95cea4363062daf9c	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Tricholochmaea;s__	1.0
64a1cc4089b79d4bd573acbb1b1fe791	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
02868efa5752e21b066f6dc2bdae756b	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__	1.0
905c0ca3c1edb84ec60abd5f7d45644c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Heliozelidae;g__Coptodisca;s__kalmiella	1.0
681358aaa813ded18db315be08e54070	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Eulithis;s__explanata	1.0
dfed61f7b57ea4776a2038b9f4da99ae	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__;s__	1.0
aecfef499b73106ce98139e03180f8f2	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae;g__Helina;s__evecta	1.0
81cbb724bbd183395492a7aa17cf60ef	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Gnaphosidae;g__Gnaphosa;s__parvula	1.0
da98d54995b1009db14265c6ddee98b7	Unassigned	1.0
1048b804c51aa095c413335f1bc8382d	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Agelenidae;g__Wadotes;s__calcaratus	1.0
1e22521aad417c326a16fa66a7af47b6	k__Animalia;p__Arthropoda;c__Insecta;o__Orthoptera;f__Acrididae;g__Melanoplus;s__	1.0
d4efca623c8e2da03ab63b5068531789	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Hypagyrtis;s__piniata	1.0
8593640fc5ef4bd03af0424be4ec2250	Unassigned	1.0
bac4515e933611cec1a5f968eb298d3f	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae;g__Syrphus;s__torvus	1.0
88c15ce613d9de11bbbf316673fd11c4	Unassigned	1.0
567d83beaba3b95fc00a6057648e22b0	Unassigned	1.0
a3504cca905eb377d9c050f0d1b2d376	Unassigned	1.0
8411cb7d7a80f32bc92e44e4153646ae	k__Animalia;p__Arthropoda;c__Insecta;o__Odonata;f__Coenagrionidae;g__Chromagrion;s__conditum	1.0
a44b95658fa2046159fbc2970a0b9de3	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Phigalia;s__titea	1.0
af977a716eaa4d5c264eb20ef43fbd22	Unassigned	1.0
8d8ea1a6ca5852c710ea859534e1551f	Unassigned	1.0
a279c34e59289b5d1df864d141eceb39	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Spilosoma;s__congrua	1.0
6c344da36e78e86a174865a6365a5fdf	Unassigned	1.0
0009c3a52b8c85f808dd8a83b152693b	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__duplicata	1.0
cc70482da0cbc6bb2786989975b70992	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Dictynidae;g__Emblyna;s__maxima	1.0
0a40762974ec77fe7dd6f3c24ff87775	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae;g__Platycheirus;s__	1.0
7d39ace2164315a768cf17f2f1e8ce1e	Unassigned	1.0
4d90670dfe173537b47eb9bda1c7c210	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Spilosoma;s__congrua	1.0
ece80043110e94b08fb4314ffa2d30ad	Unassigned	1.0
400262e9a33234c0a4a0783d87bdbf4b	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Dictynidae;g__Emblyna;s__phylax	1.0
5284198c3926d287f8808c764fa203a0	Unassigned	1.0
96c67bed6788ebd70318e6335e1a1cd9	Unassigned	1.0
557abd9fa6bdb014d48c44d61086bae9	Unassigned	1.0
518b7db6da85a1e8f4413e103663bc33	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Salticidae;g__Sibianor;s__aemulus	1.0
b1782312678918577fe2814a174916fa	Unassigned	1.0
cac4a40920d30576c787122dba8f5a15	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Philodromus;s__praelustris	1.0
7ebac65e44dc3bb9e7ad54d9ef2df4fa	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
7af3ab5f025a35de388299b523829226	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Enoplognatha;s__ovata	1.0
7af1d6fca1d6de41a0ddb776cf6fb797	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Tenthredinidae;g__Pristiphora;s__bivittata	1.0
ebc5eae07d95bfb0bb4bfc8c4dc7d2f8	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Elaphria;s__alapallida	1.0
bb5d10d2dff1b8e4c0be37300ec091b0	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__Pityohyphantes;s__costatus	1.0
133a9baf13dfd024b756e2dfa54d9c66	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__diantaeus	1.0
042b067e316319e47bcee09a3a2d3008	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Araneidae;g__Araneus;s__saevus	1.0
f3023d1cddc3ef5e68d501990f298ba0	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Herpetogramma;s__aquilonalis	1.0
2332d83fc73615c5d96e5e9e86c904a8	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Dictynidae;g__Emblyna;s__phylax	1.0
6afbeeb0ecb6864c1fb5814ca70d90de	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Criomorphus;s__conspicuus	1.0
0fb2101f7809ae1287ba02faebb1460e	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
f3485e2748cefa869b22f7eaec6164c3	Unassigned	1.0
1706a3aea11ff803d10b117c85721640	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Pauesia;s__	1.0
c1910d77053b2b8ac26bd84448b72dac	Unassigned	1.0
01253e96c230a438a86b6e43502de40f	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__;g__;s__	1.0
ac5c0ac75d873899507949767f2372be	Unassigned	1.0
f05fd11f367a5539e59b077ad2f88dd7	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__maria	1.0
ff5a6e034b94fb6ea54bed87aab513e4	Unassigned	1.0
1316efce2b13dc7f6909181c6e21a106	Unassigned	1.0
d869873e64b358e867cd9b80c2bb938b	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula;s__	1.0
734225fec9b32a7ca60437beade8405b	Unassigned	1.0
9f46113441e8c3231d36fe5d44ebdbca	k__Animalia;p__Arthropoda;c__Insecta;o__Odonata;f__Aeshnidae;g__Gomphaeschna;s__furcillata	1.0
43bb7a49f5d00876e58bf19fea088a2a	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae;g__Allograpta;s__obliqua	1.0
bdcf936a672daefe51a3911cac420e33	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__	1.0
4dabfd10c900be4902669a63e972a44a	Unassigned	1.0
d0611a7340f06bafbf06c7bf7ed5a99b	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Xestia;s__smithii	1.0
860f8cffa512b5772b8ade14477e7b86	Unassigned	1.0
c900398ad256af86b1372057eaf5379a	Unassigned	1.0
fbe3020abdfeaafe0b266427ceab655f	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Eulithis;s__explanata	1.0
c4cb4e228c10680258f380afcbb527d7	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chaoboridae;g__Chaoborus;s__punctipennis	1.0
8f56865ddeea404093c0ede08bc8c474	Unassigned	1.0
0c37e56c9c0d1d3037bd2282707ec0eb	k__Animalia;p__Arthropoda;c__Insecta;o__Odonata;f__Macromiidae;g__Didymops;s__transversa	1.0
5252513838b43ab01ed9e4fb6130ace9	Unassigned	1.0
447598f6121de8133e895634c9bb5876	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Eutrapela;s__clemataria	1.0
6d8792260b8121f6f78596ff3fb8fa15	Unassigned	1.0
cadbceb5f26236cf6df50cf13fe0fd05	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Dictynidae;g__Emblyna;s__phylax	1.0
4ec9e0a021ce5389aa46a85dcf7a9b52	k__Animalia;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Phthiracaridae;g__;s__	1.0
f5c031d3e30b5e7320f60299eb892e00	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hepialidae;g__Sthenopis;s__argenteomaculatus	1.0
f4f2fe5d42162067a1775d46e8ca8d26	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Xylophagidae;g__Xylophagus;s__	1.0
ff066c4fa61d7c1ebfd55a2c9e6c6472	Unassigned	1.0
bd7a56d7addd1e548afbf8b2d897419a	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Clubionidae;g__Clubiona;s__canadensis	1.0
092bd4b067659819a84b1afb60676fd9	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Asilidae;g__Neoitamus;s__	1.0
e35b1609793eaa75a53bdeba927083de	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__maria	1.0
b60d05078c94f238ff1dcf11699029a4	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Tenthredinidae;g__Anoplonyx;s__	1.0
f1b9ce2e899bca1319b4ab21b1253a55	Unassigned	1.0
cd33ed8b08c6e89c7dbfb6cb1a4cc992	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae;g__Piratula;s__insularis	1.0
19880086e76401a3ecb3e415f322e2e4	Unassigned	1.0
b2ed3f03926fdc40d1859489eab733f3	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae;g__Piratula;s__insularis	1.0
ddc8038b6f95b18fb86a6c30c3cad90f	k__Animalia;p__Chordata;c__Aves;o__Passeriformes;f__Passerellidae;g__Zonotrichia;s__albicollis	1.0
e706c91fb9215a5d698886b93bbbf828	Unassigned	1.0
4151e9ad9442bb81fb373848d6e10a46	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Cladara;s__limitaria	1.0
8d0a7ef04862f2060014e24f6c7ccf0f	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Ebo;s__iviei	1.0
b9309a3498f9bb1c3436ba129b5864fc	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__emertoni	1.0
8d8d51f0b3c69efecda25ee33ff6871b	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__britcheri	1.0
02f3e1783063d8501ab870590fa12d64	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Pediciidae;g__;s__	1.0
f05cd4c583db0501388e191c2ccdcb6c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__	1.0
0e7a47617ce5c6754f215baaf9614045	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Ephemerellidae;g__Eurylophella;s__prudentalis	1.0
5b47b989d66001762250598b3f1abfff	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Theridion;s__albidum	1.0
5fd647138f4493fb1e45a0b88cd0788e	Unassigned	1.0
8669bec779f2e7961f950ea9a8236178	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__;s__	1.0
56a623780549b3236bb0316e7190b789	Unassigned	1.0
ea37e41fd048afce1d8212701227ed36	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Criomorphus;s__conspicuus	1.0
022947c33b84629e647ca4561f044d9d	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Theridion;s__differens	1.0
622ea3879ff1994048934f525cc79240	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiosomatidae;g__Theridiosoma;s__gemmosum	1.0
059208146d4b80e04e308a36d7103c32	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Pauesia;s__	1.0
ab5674878a1d452a3ef418b76ab78cd1	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Limnephilidae;g__Nemotaulius;s__hostilis	1.0
5d2aebdf1f284bf075435324d5439585	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
132baed392d0bd8f9673ec503cb9956b	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Clubionidae;g__Clubiona;s__canadensis	1.0
744e22792bd640aa8a68e5d08a4e630e	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Tetragnathidae;g__Tetragnatha;s__shoshone	1.0
775382486ad76f975319541858e2d16b	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Euphylidorea;s__platyphallus	1.0
b1e1d5f135754afe4f056285016e52ac	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Epiglaea;s__apiata	1.0
02b32c0e356ea2211c096440d71e728c	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Salticidae;g__Evarcha;s__hoyi	1.0
144708b9fe0463bd962e694b14d2ed76	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae;g__Blera;s__confusa	1.0
5f817bf7511a3d1fcd3f723cfcad9240	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__britcheri	1.0
728c6e9a5572b77dd044acea18295475	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Ampedus;s__luctuosus	1.0
